,,,,,,,,
Item OCLC Number,Title,Author Name,LHR Item Call Number,Conspectus Subject,Publisher Name,Publication Date,Circulation Activity Count,URL
22422464,Learning :principles and applications /,"Klein, Stephen B.",370.1523 Kl64L 1991, Educational Psychology,"McGraw-Hill,",1991,0,https://libswu.on.worldcat.org/oclc/22422464
22422464,Learning :principles and applications /,"Klein, Stephen B.",370.1523 Kl64L 1991  c.2, Educational Psychology,"McGraw-Hill,",1991,0,https://libswu.on.worldcat.org/oclc/22422464
22450973,Beyond education :a new perspective on society's management of learning /,"Thomas, Alan M.,",370.19 Th454B, Educational Psychology,"Jossey-Bass,",1991,0,https://libswu.on.worldcat.org/oclc/22450973
23940942,101 ways to develop student self-esteem and responsibility.,"Canfield, Jack,; Siccone, Frank,",370.154 Ca222O, Educational Psychology,"Allyn and Bacon,",1993,0,https://libswu.on.worldcat.org/oclc/23940942
23977022,The unschooled mind :how children think and how schools should teach /,"Gardner, Howard,",370.152 Ga227U, Educational Psychology,"BasicBooks,",1991,0,https://libswu.on.worldcat.org/oclc/23977022
24319740,Motivation in the classroom /,"Spaulding, Cheryl Lynn.",371.1024 Sp739M, Educational Psychology,"McGraw-Hill,",1992,0,https://libswu.on.worldcat.org/oclc/24319740
24319740,Motivation in the classroom /,"Spaulding, Cheryl Lynn.",371.1024 Sp739M  c.2, Educational Psychology,"McGraw-Hill,",1992,0,https://libswu.on.worldcat.org/oclc/24319740
24319740,Motivation in the classroom /,"Spaulding, Cheryl Lynn.",371.1024 Sp739M  c.3, Educational Psychology,"McGraw-Hill,",1992,0,https://libswu.on.worldcat.org/oclc/24319740
24429911,Learning theories for teachers /,"Bigge, Morris L.; Shermis, S. Samuel.",370.1523 Bi592L, Educational Psychology,"HarperCollins,",1992,0,https://libswu.on.worldcat.org/oclc/24429911
24546694,Educational psychology and classroom practice :a partnership /,"McCown, R. R.,; Roop, Peter.",370.15 Ma131E, Educational Psychology,"Allyn and Bacon,",1992,0,https://libswu.on.worldcat.org/oclc/24546694
25317319,Contexts for learning :sociocultural dynamics in children's development /,"Forman, Ellice A.Minick, Norris.Stone, C. Addison.",370.152 Fo724C, Educational Psychology,"Oxford University Press,",1993,0,https://libswu.on.worldcat.org/oclc/25317319
25384109,Developmental motor activities for all children :from theory to practice /,"Lerch, Harold A.; Stopka, Christine B.,",370.155 Le614D, Educational Psychology,"Brown & Benchmark,",1992,0,https://libswu.on.worldcat.org/oclc/25384109
25631623,Knowing and reasoning in college :gender-related patterns in students' intellectual development /,"Baxter Magolda, Marcia B.,",370.1523 Ba355K, Educational Psychology,"Jossey-Bass,",1992,0,https://libswu.on.worldcat.org/oclc/25631623
25964423,Multiple intelligences :the theory in practice /,"Gardner, Howard,",370.1523 Ga227M, Educational Psychology,"Basic Books,",1993,1,https://libswu.on.worldcat.org/oclc/25964423
25964423,Multiple intelligences :the theory in practice /,"Gardner, Howard,",370.1523 Ga227M  c.2, Educational Psychology,"Basic Books,",1993,1,https://libswu.on.worldcat.org/oclc/25964423
26014392,Winners without losers :structures and strategies for increasing student motivation to learn /,"Raffini, James P.,",370.154 Ra137W, Educational Psychology,"Allyn and Bacon,",1993,0,https://libswu.on.worldcat.org/oclc/26014392
26363760,Motivation to learn :from theory to practice /,"Stipek, Deborah J.,",370.154 St959M, Educational Psychology,"Allyn and Bacon,",1993,0,https://libswu.on.worldcat.org/oclc/26363760
26635887,An introduction to theories of learning /,"Hergenhahn, B. R.,; Olson, Matthew H.",153.15 He545I 1993, Educational Psychology,"Prentice Hall,",1993,0,https://libswu.on.worldcat.org/oclc/26635887
26855993,Readings and cases in educational psychology /,"Hoy, Anita Woolfolk,",370.15 Wo913R, Educational Psychology,"Allyn and Bacon,",1993,0,https://libswu.on.worldcat.org/oclc/26855993
27339368,Competence-based assessment techniques.,"Fletcher, Shirley.; Institute of Training and Development.",658.3124 Fl615C, Educational Psychology,"Kogan Page in association with the Institute of Training and Development,",1992,0,https://libswu.on.worldcat.org/oclc/27339368
27811899,Educational psychology :classroom connections /,"Eggen, Paul D.,; Kauchak, Donald P.,",370.15 Eg29E, Educational Psychology,"Merrill ;Maxwell Macmillan Canada ;Maxwell Macmillan International,",1994,0,https://libswu.on.worldcat.org/oclc/27811899
